MML,   16.0445,        -61.669,      1197.0, y, , MMLL in file suppplied by station operator (stations_ovsg.en) [1602.67N 6140.14W1197]
NEV,   17.1361,        -62.5710,      244,   y,           , LL spreadsheet
PSDMZ, 15.57699,       -61.45523,       1.0, y, 2009-11-27, GPS - Reftek DAS
SABA,  17.62050,       -63.24260,     261,   y, 2008-01-17, GPS - from miniseed data header
SDDR,  18.9821,        -71.2878,      589,   y,           , NEIC
SDDR,  18.9821,        -71.2878,      589,   y,           , NEIC
SDV,    8.8861,        -70.6333,     1580,   y,           , NEIC
SDV,    8.8861,        -70.6333,     1580,   y,           , NEIC
SEUS,  17.49280,       -62.98140,     460,   y, 2008-01-17, GPS - from miniseed data header
SFAN,  13.3825833,     -61.1655667,   229,   y, 2007,       GPS - Ian (13N22.955 61W09.934) - assumed 229m altitude
SJG,   18.1117,        -66.1500,      457,   y,           , NEIC
SJG,   18.1117,        -66.1500,      457,   y,           , NEIC
SKI,   17.33380,       -62.73800,     306,   y, 2007-05-27, GPS - nmx soh log (assumed 306m alt)
SLB,   13.8275667,     -61.04125,     600,   y, 2007,       GPS - Ian (13N49.654 61W02.475) - assumed 600m altitude
SLDE,  13.80395,       -61.05955,     246,   y, 2007,       GPS - Ian (13N48.237 61W03.573) - assumed 246m altitude
SLPA,  13.8537,        -60.9190,      183,   y,           , LL spreadsheet
SLPE,  13.8431,        -60.9952,      460,   y,           , LL spreadsheet
SLTA,  13.8704,        -61.0399,      550,   y,           , LL spreadsheet
SLW,   14.0200,        -60.9360,      366,   y,           , LL spreadsheet
SMRT,  18.05050,       -63.07460,     260,   y, 2008-01-17, GPS - from miniseed data header
SSV,   13.3270,        -61.1930,      824,   y,           , LL spreadsheet
SVB,   13.27450,       -61.25040,     282,   y, 2007-05-27, GPS - nmx soh log (assumed 282m
SVV,   13.3180,        -61.2160,      243,   y,           , LL spreadsheet
TBG,   15.852,         -61.645333,     92.0, y, , TBGZ in file suppplied by station operator (stations_ovsg.en) [1551.12N 6138.72W  92]
TBH,   10.4840,        -61.0670,      199,   y,           , LL spreadsheet
TCE,   10.6970,        -61.7530,      240,   y,           , LL spreadsheet
TEIG,  20.2263,        -88.2764,       69,   y,           , NEIC
TGUH,  14.0570,        -87.2730,        0,   y,           , NEIC
TGUH,  14.0570,        -87.2730,        0,   y,           , NEIC
TOSP,  11.298342,      -60.535194,      5,   y, 2007-05-27, GPS - nmx soh log (assumed 5m alt)
TPP,   10.3170,        -61.4510,       46,   y,           , LL spreadsheet
TPR,   11.1860,        -60.7770,      245,   y,           , LL spreadsheet
TRN,   10.6480,        -61.4030,       24,   y,           , LL spreadsheet
